Prior disorder,Later disorder,Sex,Model,HR,Lower,Upper
Panic disorder,Drug abuse,F,B,2.4,1.5,3.7
Panic disorder,Drug dependence,F,B,1.7,0.7,4.2
Panic disorder,MDE,M,B,11.2,9.3,13.5
Panic disorder,Bipolar disorder,M,B,6.8,3.7,12.3
Panic disorder,Dysthymia,M,B,16,9.7,26.5
Panic disorder,GAD,M,B,12.9,9.8,16.8
Panic disorder,Social phobia,M,B,7.8,5.2,11.8
Panic disorder,Specific phobia,M,B,,,
Panic disorder,Agoraphobia,M,B,,,
Panic disorder,PTSD,M,B,11.6,6.5,20.5
Panic disorder,OCD,M,B,,,
Panic disorder,Adult SAD,M,B,,,
Panic disorder,Child SAD,M,B,,,
Panic disorder,Anorexia nervosa,M,B,,,
Panic disorder,Bulimia nervosa,M,B,,,
Panic disorder,Binge eating disorder,M,B,,,
Panic disorder,IED,M,B,,,
Panic disorder,ADHD,M,B,,,
Panic disorder,Conduct disorder,M,B,,,
Panic disorder,ODD,M,B,,,
Panic disorder,Nicotine dependence,M,B,2.7,1.8,3.9
Panic disorder,Alcohol abuse,M,B,4.7,3.7,6.1
Panic disorder,Alcohol dependence,M,B,7.7,4.7,12.6
Panic disorder,Drug abuse,M,B,4.1,2.5,6.5
Panic disorder,Drug dependence,M,B,3.4,1.4,8.2
GAD,MDE,All,A,19.2,18.3,20.2
GAD,Bipolar disorder,All,A,19.8,17.3,22.8
GAD,Dysthymia,All,A,33.9,29.9,38.4
GAD,Panic disorder,All,A,19,16.9,21.3
GAD,Social phobia,All,A,19.4,17.8,21
GAD,Specific phobia,All,A,12.7,11.8,13.7
GAD,Agoraphobia,All,A,17.5,15.3,20
GAD,PTSD,All,A,22.8,20.3,25.7
GAD,OCD,All,A,11.5,9.3,14.2
GAD,Adult SAD,All,A,16.9,14.5,19.8
GAD,Child SAD,All,A,,,
GAD,Anorexia nervosa,All,A,,,
GAD,Bulimia nervosa,All,A,15.3,11.1,21.2
GAD,Binge eating disorder,All,A,12.5,10.5,15
GAD,IED,All,A,15.7,13.6,18.1
GAD,ADHD,All,A,,,
GAD,Conduct disorder,All,A,,,
GAD,ODD,All,A,,,
GAD,Nicotine dependence,All,A,9.5,8.6,10.5
GAD,Alcohol abuse,All,A,9.2,8.4,10
GAD,Alcohol dependence,All,A,19.9,17.3,22.9
GAD,Drug abuse,All,A,11.9,10.4,13.7
GAD,Drug dependence,All,A,19.4,16.1,23.5
GAD,MDE,All,B,11.8,10.9,12.8
GAD,Bipolar disorder,All,B,7,5.3,9.4
GAD,Dysthymia,All,B,14,11.1,17.7
GAD,Panic disorder,All,B,7,5.6,8.8
GAD,Social phobia,All,B,8.8,7.5,10.3
GAD,Specific phobia,All,B,6.8,6,7.7
GAD,Agoraphobia,All,B,4.3,3.2,5.7
GAD,PTSD,All,B,12.9,10.5,15.8
GAD,OCD,All,B,3.7,2.4,5.7
GAD,Adult SAD,All,B,3.7,2.5,5.7
GAD,Child SAD,All,B,,,
GAD,Anorexia nervosa,All,B,,,
GAD,Bulimia nervosa,All,B,3.2,1.9,5.2
GAD,Binge eating disorder,All,B,4.6,3.3,6.4
GAD,IED,All,B,6.4,4.7,8.8
GAD,ADHD,All,B,,,
GAD,Conduct disorder,All,B,,,
GAD,ODD,All,B,,,
GAD,Nicotine dependence,All,B,5.2,4.4,6.2
GAD,Alcohol abuse,All,B,5.2,4.5,6.1
GAD,Alcohol dependence,All,B,7,5.1,9.6
GAD,Drug abuse,All,B,4.4,3.3,5.9
GAD,Drug dependence,All,B,4.7,3.1,7.3
GAD,MDE,F,A,29.7,27.7,31.7
GAD,Bipolar disorder,F,A,18.6,15.3,22.6
GAD,Dysthymia,F,A,58.3,49.3,68.8
GAD,Panic disorder,F,A,30.1,24.9,36.4
GAD,Social phobia,F,A,25.1,22.3,28.4
GAD,Specific phobia,F,A,24.4,21.9,27.2
GAD,Agoraphobia,F,A,35.1,28.3,43.5
GAD,PTSD,F,A,42.8,36.7,49.8
GAD,OCD,F,A,13.1,9.2,18.5
GAD,Adult SAD,F,A,21.9,17,28.1
GAD,Child SAD,F,A,,,
GAD,Anorexia nervosa,F,A,,,
GAD,Bulimia nervosa,F,A,46.5,28.5,75.9
GAD,Binge eating disorder,F,A,20.3,15.9,25.9
GAD,IED,F,A,12.4,10,15.4
GAD,ADHD,F,A,,,
GAD,Conduct disorder,F,A,,,
GAD,ODD,F,A,,,
GAD,Nicotine dependence,F,A,6.1,5.4,7
GAD,Alcohol abuse,F,A,2.8,2.5,3.2
GAD,Alcohol dependence,F,A,6.5,5.2,8
GAD,Drug abuse,F,A,5.3,4.4,6.5
GAD,Drug dependence,F,A,7.9,6.1,10.3
GAD,MDE,M,A,26.4,24.4,28.6
GAD,Bipolar disorder,M,A,23.4,18.8,29.1
GAD,Dysthymia,M,A,47.5,38.9,58
GAD,Panic disorder,M,A,23.5,19.5,28.3
GAD,Social phobia,M,A,23.3,20.6,26.5
GAD,Specific phobia,M,A,,,
GAD,Agoraphobia,M,A,22.2,17.9,27.5
GAD,PTSD,M,A,31.9,26.3,38.7
GAD,OCD,M,A,,,
GAD,Adult SAD,M,A,20.5,16.2,26
GAD,Child SAD,M,A,,,
GAD,Anorexia nervosa,M,A,,,
GAD,Bulimia nervosa,M,A,,,
GAD,Binge eating disorder,M,A,,,
GAD,IED,M,A,,,
GAD,ADHD,M,A,,,
GAD,Conduct disorder,M,A,,,
GAD,ODD,M,A,,,
GAD,Nicotine dependence,M,A,9.2,8.1,10.5
GAD,Alcohol abuse,M,A,8.8,7.8,9.9
GAD,Alcohol dependence,M,A,20.4,17.2,24.3
GAD,Drug abuse,M,A,12.3,10.3,14.8
GAD,Drug dependence,M,A,22,17.3,27.9
GAD,MDE,F,B,18.5,16.9,20.3
GAD,Bipolar disorder,F,B,6.6,5,8.8
GAD,Dysthymia,F,B,23.1,18.2,29.3
GAD,Panic disorder,F,B,10.8,8.3,14.1
GAD,Social phobia,F,B,11,9.3,13.1
GAD,Specific phobia,F,B,13,11.2,15.1
GAD,Agoraphobia,F,B,8.3,5.8,11.8
GAD,PTSD,F,B,24.5,19.6,30.7
GAD,OCD,F,B,4.2,2.5,7
GAD,Adult SAD,F,B,4.7,2.9,7.8
GAD,Child SAD,F,B,,,
GAD,Anorexia nervosa,F,B,,,
GAD,Bulimia nervosa,F,B,9.2,4.3,19.8
GAD,Binge eating disorder,F,B,7.1,4.7,10.6
GAD,IED,F,B,5.3,3.7,7.5
GAD,ADHD,F,B,,,
GAD,Conduct disorder,F,B,,,
GAD,ODD,F,B,,,
GAD,Nicotine dependence,F,B,3.5,2.9,4.3
GAD,Alcohol abuse,F,B,1.7,1.4,2.1
GAD,Alcohol dependence,F,B,2.5,1.9,3.5
GAD,Drug abuse,F,B,2.4,1.7,3.3
GAD,Drug dependence,F,B,2.5,1.5,4
GAD,MDE,M,B,15.6,13.9,17.6
GAD,Bipolar disorder,M,B,8,5.5,11.8
GAD,Dysthymia,M,B,20.5,14.6,28.7
GAD,Panic disorder,M,B,8.8,6.4,12.2
GAD,Social phobia,M,B,10.9,8.8,13.6
GAD,Specific phobia,M,B,,,
GAD,Agoraphobia,M,B,5.4,3.6,7.9
GAD,PTSD,M,B,17.1,12.7,23
GAD,OCD,M,B,,,
GAD,Adult SAD,M,B,4.3,2.8,6.7
GAD,Child SAD,M,B,,,
GAD,Anorexia nervosa,M,B,,,
GAD,Bulimia nervosa,M,B,,,
GAD,Binge eating disorder,M,B,,,
GAD,IED,M,B,,,
GAD,ADHD,M,B,,,
GAD,Conduct disorder,M,B,,,
GAD,ODD,M,B,,,
GAD,Nicotine dependence,M,B,4.7,3.8,5.8
GAD,Alcohol abuse,M,B,4.8,4,5.7
GAD,Alcohol dependence,M,B,6.8,4.8,9.6
GAD,Drug abuse,M,B,4,2.9,5.6
GAD,Drug dependence,M,B,4.6,2.9,7.2
Social phobia,MDE,All,A,15.8,15,16.5
Social phobia,Bipolar disorder,All,A,19.5,17.3,21.9
Social phobia,Dysthymia,All,A,24.9,22.2,27.8
Social phobia,Panic disorder,All,A,21.3,19,23.8
Social phobia,GAD,All,A,24.5,22.8,26.4
Social phobia,Specific phobia,All,A,18.8,17.6,20.2
Social phobia,Agoraphobia,All,A,43.1,38.6,48
Social phobia,PTSD,All,A,18,16.3,19.9
Social phobia,OCD,All,A,18,14.7,22.1
Social phobia,Adult SAD,All,A,16.3,14.5,18.4
Social phobia,Child SAD,All,A,14.6,12.4,17.3
Social phobia,Anorexia nervosa,All,A,,,
Social phobia,Bulimia nervosa,All,A,20,15.8,25.3
Social phobia,Binge eating disorder,All,A,14.4,12.5,16.5
Social phobia,IED,All,A,16.3,14.3,18.6
Social phobia,ADHD,All,A,16.1,13.2,19.8
Social phobia,Conduct disorder,All,A,11,9,13.4
Social phobia,ODD,All,A,16,13.3,19.2
Social phobia,Nicotine dependence,All,A,9,8.2,9.9
Social phobia,Alcohol abuse,All,A,10.4,9.7,11.1
Social phobia,Alcohol dependence,All,A,17.7,16,19.7
Social phobia,Drug abuse,All,A,12.1,10.8,13.4
Social phobia,Drug dependence,All,A,18.5,15.9,21.6
Social phobia,MDE,All,B,12,11.3,12.8
Social phobia,Bipolar disorder,All,B,11.2,9.3,13.4
Social phobia,Dysthymia,All,B,15.3,12.9,18.1
Social phobia,Panic disorder,All,B,13.3,11.2,15.9
Social phobia,GAD,All,B,18.6,16.9,20.5
Social phobia,Specific phobia,All,B,14.8,13.6,16.1
Social phobia,Agoraphobia,All,B,25.7,21.6,30.5
Social phobia,PTSD,All,B,13.1,11.5,14.9
Social phobia,OCD,All,B,10.1,7.5,13.7
Social phobia,Adult SAD,All,B,8.1,6.5,10.1
Social phobia,Child SAD,All,B,6.8,5.2,8.8
Social phobia,Anorexia nervosa,All,B,,,
Social phobia,Bulimia nervosa,All,B,11.4,7.4,17.5
Social phobia,Binge eating disorder,All,B,10.2,8.3,12.6
Social phobia,IED,All,B,11.7,9.7,14.2
Social phobia,ADHD,All,B,6.5,4.5,9.5
Social phobia,Conduct disorder,All,B,4.1,2.7,6.2
Social phobia,ODD,All,B,7.4,5.4,10
Social phobia,Nicotine dependence,All,B,6,5.2,6.9
Social phobia,Alcohol abuse,All,B,7.9,7.2,8.7
Social phobia,Alcohol dependence,All,B,12.6,10.9,14.5
Social phobia,Drug abuse,All,B,8.4,7.2,9.8
Social phobia,Drug dependence,All,B,12,9.5,15.1
Social phobia,MDE,F,A,25.8,24.2,27.5
Social phobia,Bipolar disorder,F,A,19.6,16.6,23.2
Social phobia,Dysthymia,F,A,42.7,36,50.7
Social phobia,Panic disorder,F,A,34.3,29,40.6
Social phobia,GAD,F,A,41.1,36.9,45.9
Social phobia,Specific phobia,F,A,33.9,30.8,37.2
Social phobia,Agoraphobia,F,A,78.3,66.1,92.8
Social phobia,PTSD,F,A,37.7,32.5,43.6
Social phobia,OCD,F,A,19.7,14.6,26.5
Social phobia,Adult SAD,F,A,20.9,17,25.7
Social phobia,Child SAD,F,A,22.5,17.5,28.8
Social phobia,Anorexia nervosa,F,A,,,
Social phobia,Bulimia nervosa,F,A,66.5,42.3,104.5
Social phobia,Binge eating disorder,F,A,23.7,19.2,29.2
Social phobia,IED,F,A,12.9,10.6,15.6
Social phobia,ADHD,F,A,,,
Social phobia,Conduct disorder,F,A,5.1,3.7,7.2
Social phobia,ODD,F,A,12.5,9.4,16.5
Social phobia,Nicotine dependence,F,A,6.2,5.5,7
Social phobia,Alcohol abuse,F,A,3.5,3.1,4
Social phobia,Alcohol dependence,F,A,6.1,5.2,7.1
Social phobia,Drug abuse,F,A,5.5,4.5,6.6
Social phobia,Drug dependence,F,A,7.8,6.1,9.9
Social phobia,MDE,M,A,18.4,17.2,19.8
Social phobia,Bipolar disorder,M,A,19.6,16.6,23.2
Social phobia,Dysthymia,M,A,29.7,25.3,35
Social phobia,Panic disorder,M,A,26.6,22.8,31.1
Social phobia,GAD,M,A,30.8,27.7,34.4
Social phobia,Specific phobia,M,A,23.3,21.1,25.8
Social phobia,Agoraphobia,M,A,58.9,50.4,68.9
Social phobia,PTSD,M,A,22.1,19,25.8
Social phobia,OCD,M,A,20.9,15.8,27.7
Social phobia,Adult SAD,M,A,18.2,15.3,21.6
Social phobia,Child SAD,M,A,,,
Social phobia,Anorexia nervosa,M,A,,,
Social phobia,Bulimia nervosa,M,A,,,
Social phobia,Binge eating disorder,M,A,14.7,11.6,18.7
Social phobia,IED,M,A,16,13.6,18.8
Social phobia,ADHD,M,A,,,
Social phobia,Conduct disorder,M,A,11.4,9,14.5
Social phobia,ODD,M,A,17.1,13.6,21.5
Social phobia,Nicotine dependence,M,A,7.8,6.9,8.7
Social phobia,Alcohol abuse,M,A,9.4,8.7,10.2
Social phobia,Alcohol dependence,M,A,17.1,15.1,19.3
Social phobia,Drug abuse,M,A,12.1,10.6,13.7
Social phobia,Drug dependence,M,A,19.6,16.3,23.5
Social phobia,MDE,F,B,19.2,17.7,20.8
Social phobia,Bipolar disorder,F,B,10.5,8.5,12.9
Social phobia,Dysthymia,F,B,24.9,20,31.1
Social phobia,Panic disorder,F,B,20.3,16.3,25.2
Social phobia,GAD,F,B,30.1,26.6,34.1
Social phobia,Specific phobia,F,B,26.3,23.6,29.2
Social phobia,Agoraphobia,F,B,43.9,35.9,53.6
Social phobia,PTSD,F,B,27.3,22.9,32.6
Social phobia,OCD,F,B,10.2,7.3,14.2
Social phobia,Adult SAD,F,B,9.5,6.9,13
Social phobia,Child SAD,F,B,9.6,6.8,13.7
Social phobia,Anorexia nervosa,F,B,,,
Social phobia,Bulimia nervosa,F,B,38.1,20.1,72
Social phobia,Binge eating disorder,F,B,16.6,12.5,22.1
Social phobia,IED,F,B,8.8,6.9,11.2
Social phobia,ADHD,F,B,,,
Social phobia,Conduct disorder,F,B,1.8,1.1,2.9
Social phobia,ODD,F,B,5.9,4,8.7
Social phobia,Nicotine dependence,F,B,4,3.4,4.8
Social phobia,Alcohol abuse,F,B,2.7,2.3,3.1
Social phobia,Alcohol dependence,F,B,4.2,3.4,5.2
Social phobia,Drug abuse,F,B,3.7,3,4.7
Social phobia,Drug dependence,F,B,5.1,3.7,7
Social phobia,MDE,M,B,14.5,13.3,15.8
Social phobia,Bipolar disorder,M,B,12,9.7,14.9
Social phobia,Dysthymia,M,B,19.5,15.9,23.9
Social phobia,Panic disorder,M,B,17.9,14.6,21.9
Social phobia,GAD,M,B,24.4,21.6,27.5
Social phobia,Specific phobia,M,B,18.6,16.7,20.8
Social phobia,Agoraphobia,M,B,37.8,30.7,46.5
Social phobia,PTSD,M,B,16.1,13.5,19.2
Social phobia,OCD,M,B,12.8,8.8,18.7
Social phobia,Adult SAD,M,B,10,7.9,12.6
Social phobia,Child SAD,M,B,,,
Social phobia,Anorexia nervosa,M,B,,,
Social phobia,Bulimia nervosa,M,B,,,
Social phobia,Binge eating disorder,M,B,10.8,8.2,14.3
Social phobia,IED,M,B,12,9.8,14.8
Social phobia,ADHD,M,B,,,
Social phobia,Conduct disorder,M,B,4.3,2.8,6.7
Social phobia,ODD,M,B,7.6,5.4,10.8
Social phobia,Nicotine dependence,M,B,5.4,4.7,6.3
Social phobia,Alcohol abuse,M,B,7.2,6.6,8
Social phobia,Alcohol dependence,M,B,12.2,10.5,14.3
Social phobia,Drug abuse,M,B,8.5,7.2,10
Social phobia,Drug dependence,M,B,12.6,9.8,16.1
Specific phobia,MDE,All,A,13,12.4,13.6
Specific phobia,Bipolar disorder,All,A,19,17.1,21.2
Specific phobia,Dysthymia,All,A,18.9,16.9,21
Specific phobia,Panic disorder,All,A,21.8,19.9,23.9
Specific phobia,GAD,All,A,16.2,15.1,17.4
Specific phobia,Social phobia,All,A,22.5,21,24.2
Specific phobia,Agoraphobia,All,A,34.1,30.9,37.6
Specific phobia,PTSD,All,A,16.7,15.3,18.3
Specific phobia,OCD,All,A,20.2,15.5,26.2
Specific phobia,Adult SAD,All,A,18.3,16.4,20.4
Specific phobia,Child SAD,All,A,17.4,14.9,20.4
Specific phobia,Anorexia nervosa,All,A,8.9,4.9,16.5
Specific phobia,Bulimia nervosa,All,A,15.2,12,19.4
Specific phobia,Binge eating disorder,All,A,12.8,11.1,14.8
Specific phobia,IED,All,A,13.5,12.1,15.1
Specific phobia,ADHD,All,A,13.2,11.2,15.5
Specific phobia,Conduct disorder,All,A,11.9,9.9,14.2
Specific phobia,ODD,All,A,13.1,10.9,15.8
Specific phobia,Nicotine dependence,All,A,9.4,8.6,10.3
Specific phobia,Alcohol abuse,All,A,10.6,9.8,11.4
Specific phobia,Alcohol dependence,All,A,14.5,13,16.2
Specific phobia,Drug abuse,All,A,10.8,9.6,12.2
Specific phobia,Drug dependence,All,A,15.2,13,17.8
Specific phobia,MDE,All,B,12.1,11.5,12.7
Specific phobia,Bipolar disorder,All,B,16.9,14.9,19.1
Specific phobia,Dysthymia,All,B,16.1,14.3,18.2
Specific phobia,Panic disorder,All,B,19.9,17.8,22.1
Specific phobia,GAD,All,B,14.6,13.5,15.8
Specific phobia,Social phobia,All,B,20.5,19,22.1
Specific phobia,Agoraphobia,All,B,30.8,27.5,34.5
Specific phobia,PTSD,All,B,15.4,14,17.1
Specific phobia,OCD,All,B,19.1,14.4,25.4
Specific phobia,Adult SAD,All,B,15.9,13.9,18.2
Specific phobia,Child SAD,All,B,15.9,13.4,18.8
Specific phobia,Anorexia nervosa,All,B,8.8,4.6,16.8
Specific phobia,Bulimia nervosa,All,B,11.9,9,15.9
Specific phobia,Binge eating disorder,All,B,11,9.3,13
Specific phobia,IED,All,B,12.2,10.7,14
Specific phobia,ADHD,All,B,10.4,8.6,12.6
Specific phobia,Conduct disorder,All,B,9.5,7.7,11.8
Specific phobia,ODD,All,B,10.8,8.7,13.3
Specific phobia,Nicotine dependence,All,B,8.8,8,9.7
Specific phobia,Alcohol abuse,All,B,9.6,8.8,10.4
Specific phobia,Alcohol dependence,All,B,12.3,10.8,14.1
Specific phobia,Drug abuse,All,B,9.5,8.2,10.9
Specific phobia,Drug dependence,All,B,12.5,10.4,15
Specific phobia,MDE,F,A,21.5,20.2,22.9
Specific phobia,Bipolar disorder,F,A,17.9,15.5,20.7
Specific phobia,Dysthymia,F,A,31.1,26.4,36.6
Specific phobia,Panic disorder,F,A,36.3,31.6,41.8
Specific phobia,GAD,F,A,27.7,24.9,30.9
Specific phobia,Social phobia,F,A,26,23.6,28.7
Specific phobia,Agoraphobia,F,A,60.5,51.8,70.7
Specific phobia,PTSD,F,A,37.8,33.2,43.1
Specific phobia,OCD,F,A,17.5,13.4,22.9
Specific phobia,Adult SAD,F,A,21.1,17.8,24.9
Specific phobia,Child SAD,F,A,24.3,18.6,31.7
Specific phobia,Anorexia nervosa,F,A,,,
Specific phobia,Bulimia nervosa,F,A,41,27.4,61.4
Specific phobia,Binge eating disorder,F,A,19.2,15.7,23.6
Specific phobia,IED,F,A,9.9,8.4,11.8
Specific phobia,ADHD,F,A,8.8,6.8,11.3
Specific phobia,Conduct disorder,F,A,5,3.9,6.6
Specific phobia,ODD,F,A,8.7,6.8,11.1
Specific phobia,Nicotine dependence,F,A,5.7,5.1,6.3
Specific phobia,Alcohol abuse,F,A,2.8,2.4,3.1
Specific phobia,Alcohol dependence,F,A,3.8,3.2,4.5
Specific phobia,Drug abuse,F,A,4.6,3.8,5.4
Specific phobia,Drug dependence,F,A,6,4.8,7.6
Specific phobia,MDE,M,A,16.6,15.3,18
Specific phobia,Bipolar disorder,M,A,20.3,17.3,23.9
Specific phobia,Dysthymia,M,A,25.1,20.6,30.6
Specific phobia,Panic disorder,M,A,29.9,25.3,35.4
Specific phobia,GAD,M,A,20.6,18.3,23.3
Specific phobia,Social phobia,M,A,29.1,26.3,32.3
Specific phobia,Agoraphobia,M,A,50.6,43.7,58.7
Specific phobia,PTSD,M,A,18.9,16,22.3
Specific phobia,OCD,M,A,31.2,22.9,42.6
Specific phobia,Adult SAD,M,A,26,22.3,30.3
Specific phobia,Child SAD,M,A,23,18.1,29.4
Specific phobia,Anorexia nervosa,M,A,,,
Specific phobia,Bulimia nervosa,M,A,32,22.2,46.2
Specific phobia,Binge eating disorder,M,A,18.9,15.1,23.6
Specific phobia,IED,M,A,14.7,12.6,17.2
Specific phobia,ADHD,M,A,12.9,10.1,16.4
Specific phobia,Conduct disorder,M,A,12.8,10,16.3
Specific phobia,ODD,M,A,15.4,12.1,19.5
Specific phobia,Nicotine dependence,M,A,9.1,8,10.3
Specific phobia,Alcohol abuse,M,A,10.6,9.6,11.6
Specific phobia,Alcohol dependence,M,A,15.3,13.4,17.5
Specific phobia,Drug abuse,M,A,11.2,9.5,13.2
Specific phobia,Drug dependence,M,A,16.7,13.6,20.4
Specific phobia,MDE,F,B,20.2,19,21.5
Specific phobia,Bipolar disorder,F,B,16.1,13.8,18.8
Specific phobia,Dysthymia,F,B,26.7,22.6,31.5
Specific phobia,Panic disorder,F,B,33.4,28.9,38.8
Specific phobia,GAD,F,B,25.2,22.5,28.2
Specific phobia,Social phobia,F,B,24,21.7,26.6
Specific phobia,Agoraphobia,F,B,55,46.7,64.9
Specific phobia,PTSD,F,B,35.5,31.1,40.6
Specific phobia,OCD,F,B,16.6,12.6,21.9
Specific phobia,Adult SAD,F,B,19,15.8,22.8
Specific phobia,Child SAD,F,B,22.5,17.3,29.4
Specific phobia,Anorexia nervosa,F,B,,,
Specific phobia,Bulimia nervosa,F,B,32.5,21.8,48.5
Specific phobia,Binge eating disorder,F,B,16.8,13.5,20.9
Specific phobia,IED,F,B,9.2,7.7,10.9
Specific phobia,ADHD,F,B,7.8,6,10
Specific phobia,Conduct disorder,F,B,4.5,3.4,5.9
Specific phobia,ODD,F,B,7.6,5.8,9.8
Specific phobia,Nicotine dependence,F,B,5.4,4.8,6
Specific phobia,Alcohol abuse,F,B,2.6,2.3,2.9
Specific phobia,Alcohol dependence,F,B,3.3,2.7,4
Specific phobia,Drug abuse,F,B,4.1,3.4,4.9
Specific phobia,Drug dependence,F,B,4.9,3.8,6.4
Specific phobia,MDE,M,B,15.2,13.9,16.6
Specific phobia,Bipolar disorder,M,B,17.7,14.7,21.2
Specific phobia,Dysthymia,M,B,21.2,17.3,26.1
Specific phobia,Panic disorder,M,B,26.8,22.2,32.2
Specific phobia,GAD,M,B,18.2,15.9,20.8
Specific phobia,Social phobia,M,B,25.9,23.2,29
Specific phobia,Agoraphobia,M,B,45.4,38.5,53.6
Specific phobia,PTSD,M,B,16.6,13.9,19.9
Specific phobia,OCD,M,B,29.9,21.4,41.7
Specific phobia,Adult SAD,M,B,21.9,18.1,26.4
Specific phobia,Child SAD,M,B,20.8,16.1,27
Specific phobia,Anorexia nervosa,M,B,,,
Specific phobia,Bulimia nervosa,M,B,24.5,15.9,37.8
Specific phobia,Binge eating disorder,M,B,15.8,12.3,20.3
Specific phobia,IED,M,B,13.1,10.9,15.8
Specific phobia,ADHD,M,B,9.2,7,12.1
Specific phobia,Conduct disorder,M,B,9.7,7.4,12.9
Specific phobia,ODD,M,B,12.1,9.4,15.6
Specific phobia,Nicotine dependence,M,B,8.4,7.3,9.6
Specific phobia,Alcohol abuse,M,B,9.4,8.5,10.5
Specific phobia,Alcohol dependence,M,B,12.8,10.9,15.1
Specific phobia,Drug abuse,M,B,9.6,8,11.5
Specific phobia,Drug dependence,M,B,13.7,11,17.2
Agoraphobia,MDE,All,A,15.2,14.1,16.5
Agoraphobia,Bipolar disorder,All,A,33,27.8,39.1
Agoraphobia,Dysthymia,All,A,29.7,25.3,34.9
Agoraphobia,Panic disorder,All,A,45.8,39.9,52.5
Agoraphobia,GAD,All,A,24.3,21.6,27.3
Agoraphobia,Social phobia,All,A,40.6,37.2,44.2
Agoraphobia,Specific Phobia,All,A,24.9,22.9,27.1
Agoraphobia,PTSD,All,A,20.9,17.9,24.4
Agoraphobia,OCD,All,A,20.7,15.5,27.7
Agoraphobia,Adult SAD,All,A,20.3,16.7,24.7
Agoraphobia,Child SAD,All,A,,,
Agoraphobia,Anorexia nervosa,All,A,,,
Agoraphobia,Bulimia nervosa,All,A,19.8,12.9,30.3
Agoraphobia,Binge eating disorder,All,A,17.4,13.5,22.4
Agoraphobia,IED,All,A,16.4,13.2,20.4
Agoraphobia,ADHD,All,A,,,
Agoraphobia,Conduct disorder,All,A,,,
Agoraphobia,ODD,All,A,14.6,11.3,18.8
Agoraphobia,Nicotine dependence,All,A,8.3,7,9.8
Agoraphobia,Alcohol abuse,All,A,10.4,9,12
Agoraphobia,Alcohol dependence,All,A,23.9,20.2,28.3
Agoraphobia,Drug abuse,All,A,13.2,11.1,15.6
Agoraphobia,Drug dependence,All,A,23,18.2,28.9
Agoraphobia,MDE,All,B,9.3,8.2,10.6
Agoraphobia,Bipolar disorder,All,B,15.1,10.2,22.4
Agoraphobia,Dysthymia,All,B,11.2,7.7,16.3
Agoraphobia,Panic disorder,All,B,24.9,18.7,33.4
Agoraphobia,GAD,All,B,13.7,11.3,16.7
Agoraphobia,Social phobia,All,B,22.8,19.4,26.7
Agoraphobia,Specific Phobia,All,B,16.2,14.2,18.5
Agoraphobia,PTSD,All,B,11.2,8.2,15.3
Agoraphobia,OCD,All,B,10.2,5.7,18.2
Agoraphobia,Adult SAD,All,B,6.6,3.7,11.7
Agoraphobia,Child SAD,All,B,,,
Agoraphobia,Anorexia nervosa,All,B,,,
Agoraphobia,Bulimia nervosa,All,B,7.1,2.5,20.3
Agoraphobia,Binge eating disorder,All,B,9.9,6.2,16
Agoraphobia,IED,All,B,8.5,5.8,12.5
Agoraphobia,ADHD,All,B,,,
Agoraphobia,Conduct disorder,All,B,,,
Agoraphobia,ODD,All,B,3.5,1.4,8.9
Agoraphobia,Nicotine dependence,All,B,4,2.6,6
Agoraphobia,Alcohol abuse,All,B,6.5,5.2,8.1
Agoraphobia,Alcohol dependence,All,B,13.4,9.7,18.3
Agoraphobia,Drug abuse,All,B,6.7,4.6,9.8
Agoraphobia,Drug dependence,All,B,8.3,4.5,15.2
Agoraphobia,MDE,F,A,24.8,22.6,27.2
Agoraphobia,Bipolar disorder,F,A,33.1,26.4,41.6
Agoraphobia,Dysthymia,F,A,53.9,43.9,66.2
Agoraphobia,Panic disorder,F,A,74.1,61.2,89.9
Agoraphobia,GAD,F,A,39.6,34.2,45.9
Agoraphobia,Social phobia,F,A,50.8,45.1,57.3
Agoraphobia,Specific Phobia,F,A,44.7,40.3,49.7
Agoraphobia,PTSD,F,A,45.9,37.3,56.5
Agoraphobia,OCD,F,A,22.9,15.8,33.1
Agoraphobia,Adult SAD,F,A,24.1,18.9,30.7
Agoraphobia,Child SAD,F,A,,,
Agoraphobia,Anorexia nervosa,F,A,,,
Agoraphobia,Bulimia nervosa,F,A,,,
Agoraphobia,Binge eating disorder,F,A,28.3,20.9,38.3
Agoraphobia,IED,F,A,13.5,10.3,17.6
Agoraphobia,ADHD,F,A,,,
Agoraphobia,Conduct disorder,F,A,,,
Agoraphobia,ODD,F,A,,,
Agoraphobia,Nicotine dependence,F,A,5.3,4.4,6.4
Agoraphobia,Alcohol abuse,F,A,2.9,2.4,3.6
Agoraphobia,Alcohol dependence,F,A,7.7,5.7,10.4
Agoraphobia,Drug abuse,F,A,4.8,3.5,6.6
Agoraphobia,Drug dependence,F,A,8.2,5.3,12.5
Agoraphobia,MDE,M,A,20.1,17.2,23.4
Agoraphobia,Bipolar disorder,M,A,32.6,25.4,41.9
Agoraphobia,Dysthymia,M,A,36,26.3,49.4
Agoraphobia,Panic disorder,M,A,66.7,54.3,82
Agoraphobia,GAD,M,A,34.4,28.1,42.1
Agoraphobia,Social phobia,M,A,52.7,45.5,60.9
Agoraphobia,Specific Phobia,M,A,,,
Agoraphobia,PTSD,M,A,25.9,19.5,34.4
Agoraphobia,OCD,M,A,,,
